,album,title,artist,tracknumber,genre,date,origin_path,type,dest_path
0,MAÑANA SERÁ BONITO,KÁRMIKA (Ft. Bad Gyal & Sean Paul),Karol G,11,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/11-KÁRMIKA (Ft. Bad Gyal & Sean Paul).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/11_Kármika_(Ft._Bad_Gyal_&_Sean_Paul)_Karol_G
1,MAÑANA SERÁ BONITO,GUCCI LOS PAÑOS,Karol G,5,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/05-GUCCI LOS PAÑOS.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/5_Gucci_Los_Paños_Karol_G
2,MAÑANA SERÁ BONITO,PROVENZA,Karol G,12,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/12-PROVENZA.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/12_Provenza_Karol_G
3,MAÑANA SERÁ BONITO,TQG (Ft. Shakira),Karol G,6,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/06-TQG (Ft. Shakira).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/6_Tqg_(Ft._Shakira)_Karol_G
4,MAÑANA SERÁ BONITO,CAROLINA,Karol G,13,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/13-CAROLINA.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/13_Carolina_Karol_G
5,MAÑANA SERÁ BONITO,AMARGURA,Karol G,15,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/15-AMARGURA.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/15_Amargura_Karol_G
6,MAÑANA SERÁ BONITO,CAIRO (Ft. Ovy On The Drums),Karol G,16,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/16-CAIRO (Ft. Ovy On The Drums).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/16_Cairo_(Ft._Ovy_On_The_Drums)_Karol_G
7,MAÑANA SERÁ BONITO,MAÑANA SERÁ BONITO (Ft. Carla Morrison),Karol G,17,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/17-MAÑANA SERÁ BONITO (Ft. Carla Morrison).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/17_Mañana_Será_Bonito_(Ft._Carla_Morrison)_Karol_G
8,MAÑANA SERÁ BONITO,TUS GAFITAS,Karol G,7,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/07-TUS GAFITAS.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/7_Tus_Gafitas_Karol_G
9,MAÑANA SERÁ BONITO,MIENTRAS ME CURO DEL CORA,Karol G,1,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/01-MIENTRAS ME CURO DEL CORA.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/1_Mientras_Me_Curo_Del_Cora_Karol_G
10,MAÑANA SERÁ BONITO,OJOS FERRARI (Ft. Justin Quiles & ANGEL DIOR),Karol G,8,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/08-OJOS FERRARI (Ft. Justin Quiles & ANGEL DIOR).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/8_Ojos_Ferrari_(Ft._Justin_Quiles_&_Angel_Dior)_Karol_G
11,MAÑANA SERÁ BONITO,X SI VOLVEMOS (Ft. Romeo Santos),Karol G,2,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/02-X SI VOLVEMOS (Ft. Romeo Santos).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/2_X_Si_Volvemos_(Ft._Romeo_Santos)_Karol_G
12,MAÑANA SERÁ BONITO,PERO TÚ (Ft. Quevedo),Karol G,3,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/03-PERO TÚ (Ft. Quevedo).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/3_Pero_Tú_(Ft._Quevedo)_Karol_G
13,MAÑANA SERÁ BONITO,MERCURIO,Karol G,9,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/09-MERCURIO.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/9_Mercurio_Karol_G
14,MAÑANA SERÁ BONITO,BESTIES,Karol G,4,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/04-BESTIES.mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/4_Besties_Karol_G
15,MAÑANA SERÁ BONITO,DAÑAMOS LA AMISTAD (Ft. Sech),Karol G,14,Regueton,2023,/storage/emulated/0/Music/audio_library_organizer/../MAÑANA SERÁ BONITO/14-DAÑAMOS LA AMISTAD (Ft. Sech).mp3,.mp3,/storage/emulated/0/Music/audio_library_organizer/test/Regueton/Karol G/MAÑANA SERÁ BONITO/14_Dañamos_La_Amistad_(Ft._Sech)_Karol_G
